age,job,marital,education,default,balance,housing,loan,contact,day,month,pdays,poutcome,deposit,deposit_encoded,duration_log,campaign_log,previous_log,cluster
32.0,blue-collar,single,primary,no,611.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.295266001439646,1.3862943611198906,0.0,1
49.0,services,married,secondary,no,-8.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
41.0,admin.,married,secondary,no,55.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
49.0,admin.,divorced,secondary,no,168.0,yes,yes,unknown,8,may,-1.0,unknown,yes,1.0,6.2422232654551655,0.6931471805599453,0.0,1
28.0,admin.,divorced,secondary,no,785.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.093569770045136,1.0986122886681098,0.0,1
43.0,management,single,tertiary,no,2067.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.6293632534374485,0.6931471805599453,0.0,1
43.0,management,divorced,tertiary,no,388.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
43.0,blue-collar,married,primary,no,-192.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
37.0,unemployed,single,secondary,no,381.0,yes,no,unknown,8,may,-1.0,unknown,yes,1.0,6.893656354602635,1.0986122886681098,0.0,1
35.0,blue-collar,single,secondary,no,40.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.42648845745769,1.6094379124341003,0.0,1
31.0,technician,single,tertiary,no,22.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.182084906716632,1.3862943611198906,0.0,1
43.0,blue-collar,single,secondary,no,3.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.835184586147301,1.3862943611198906,0.0,1
31.0,admin.,married,secondary,no,307.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.289715570908998,0.6931471805599453,0.0,1
28.0,blue-collar,single,secondary,no,759.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.566672429803241,0.6931471805599453,0.0,1
32.0,blue-collar,married,secondary,yes,-1.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.483107351457199,0.6931471805599453,0.0,1
60.0,technician,married,primary,no,65.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.9363427358340495,1.0986122886681098,0.0,1
26.0,blue-collar,single,secondary,no,82.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.484635235635252,0.6931471805599453,0.0,1
40.0,blue-collar,married,secondary,no,10.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
33.0,blue-collar,divorced,primary,no,390.0,yes,no,unknown,9,may,-1.0,unknown,yes,1.0,6.501289670540389,1.0986122886681098,0.0,1
32.0,management,single,tertiary,no,311.0,no,no,unknown,12,may,-1.0,unknown,yes,1.0,6.630683385642372,1.0986122886681098,0.0,1
35.0,blue-collar,married,primary,no,414.0,no,no,unknown,13,may,-1.0,unknown,yes,1.0,6.22455842927536,1.6094379124341003,0.0,0
33.0,management,divorced,secondary,no,5.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
38.0,management,married,tertiary,no,119.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.343880434126331,1.6094379124341003,0.0,0
23.0,entrepreneur,single,primary,no,4.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,5.981414211254481,1.0986122886681098,0.0,1
60.0,blue-collar,married,primary,no,1262.0,yes,yes,unknown,13,may,-1.0,unknown,yes,1.0,6.923628628138427,0.6931471805599453,0.0,1
48.0,management,married,tertiary,no,1949.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.52795791762255,1.0986122886681098,0.0,3
45.0,entrepreneur,divorced,tertiary,no,-395.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.154858094016418,0.6931471805599453,0.0,1
36.0,blue-collar,married,secondary,no,1165.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.90975328164481,1.6094379124341003,0.0,0
52.0,management,married,unknown,no,2240.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.740519359606223,0.6931471805599453,0.0,3
35.0,blue-collar,divorced,primary,no,300.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.852242569051878,1.0986122886681098,0.0,1
43.0,technician,married,secondary,no,3285.0,yes,no,unknown,13,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
52.0,housemaid,married,secondary,no,3923.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.849066282633458,1.3862943611198906,0.0,3
53.0,technician,divorced,primary,no,1443.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.1675164908883415,0.6931471805599453,0.0,1
48.0,blue-collar,divorced,primary,no,24.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.725033642166843,0.6931471805599453,0.0,1
41.0,blue-collar,single,primary,no,1618.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
39.0,management,divorced,tertiary,no,517.0,yes,yes,unknown,14,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
59.0,retired,married,secondary,no,1521.0,yes,yes,unknown,14,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
41.0,blue-collar,married,secondary,no,2823.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.755768921984255,0.6931471805599453,0.0,3
48.0,blue-collar,married,secondary,no,1405.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.4457198193855785,1.0986122886681098,0.0,1
40.0,admin.,married,secondary,no,1535.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.558197802812269,0.6931471805599453,0.0,1
48.0,blue-collar,married,secondary,no,1596.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.634633357861686,0.6931471805599453,0.0,1
60.0,retired,married,primary,no,1542.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.836259277277067,0.6931471805599453,0.0,1
40.0,technician,single,unknown,no,3652.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.9363427358340495,1.0986122886681098,0.0,3
57.0,technician,married,tertiary,no,-1.0,no,no,unknown,14,may,-1.0,unknown,yes,1.0,6.7464121285733745,1.0986122886681098,0.0,1
51.0,blue-collar,married,secondary,no,4087.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.833031732786201,0.6931471805599453,0.0,3
41.0,blue-collar,divorced,secondary,no,4087.0,yes,no,unknown,14,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,3
41.0,blue-collar,married,secondary,no,1384.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,0
52.0,blue-collar,divorced,primary,no,-191.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.628041376179533,0.6931471805599453,0.0,1
59.0,blue-collar,married,primary,no,320.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.54534966033442,0.6931471805599453,0.0,1
44.0,blue-collar,married,unknown,no,146.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.182084906716632,0.6931471805599453,0.0,1
49.0,management,married,primary,no,341.0,yes,yes,unknown,15,may,-1.0,unknown,yes,1.0,6.255750041753367,1.0986122886681098,0.0,1
40.0,services,married,primary,no,-9.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.825460036255307,1.0986122886681098,0.0,1
41.0,admin.,married,primary,no,-306.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.2166061010848646,0.6931471805599453,0.0,1
44.0,technician,married,tertiary,no,4087.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.815639990074331,1.0986122886681098,0.0,3
60.0,services,single,primary,no,313.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.825460036255307,1.0986122886681098,0.0,1
29.0,management,married,tertiary,no,4087.0,no,no,unknown,15,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
41.0,retired,divorced,primary,no,-233.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
41.0,blue-collar,married,primary,no,2453.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
42.0,technician,single,secondary,no,1364.0,yes,no,unknown,15,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.9459101490553132,0.0,0
36.0,services,single,unknown,no,281.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.246106765481563,0.6931471805599453,0.0,1
39.0,technician,married,tertiary,no,94.0,yes,yes,unknown,16,may,-1.0,unknown,yes,1.0,6.70196036600254,0.6931471805599453,0.0,1
31.0,self-employed,single,tertiary,no,144.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.517671272912275,0.6931471805599453,0.0,1
26.0,blue-collar,married,secondary,no,246.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,1
31.0,blue-collar,married,secondary,no,92.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.535241271013659,0.6931471805599453,0.0,1
29.0,admin.,single,secondary,no,163.0,yes,yes,unknown,16,may,-1.0,unknown,yes,1.0,6.6895992691789665,0.6931471805599453,0.0,1
37.0,services,divorced,secondary,no,49.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.429719478039138,1.0986122886681098,0.0,1
33.0,blue-collar,single,secondary,no,-416.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.643789733147672,1.0986122886681098,0.0,1
24.0,technician,single,secondary,no,409.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.816735880594968,0.6931471805599453,0.0,1
50.0,admin.,divorced,secondary,no,363.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
27.0,technician,single,tertiary,no,3706.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.8001700683022,0.6931471805599453,0.0,3
54.0,management,single,tertiary,no,4087.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,3
30.0,technician,single,secondary,no,863.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.791759469228055,0.0,0
34.0,blue-collar,married,primary,no,695.0,yes,yes,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,0
37.0,management,single,secondary,no,792.0,yes,no,unknown,16,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,0
41.0,admin.,single,secondary,no,1020.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.78332520060396,0.6931471805599453,0.0,1
47.0,blue-collar,married,secondary,no,863.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.8501261661455,1.0986122886681098,0.0,1
31.0,admin.,married,secondary,no,97.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.410174881966167,0.6931471805599453,0.0,1
31.0,blue-collar,married,secondary,no,754.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.930494765951626,1.6094379124341003,0.0,0
43.0,services,divorced,secondary,no,1040.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.315358001522335,1.3862943611198906,0.0,0
37.0,management,divorced,tertiary,no,122.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
30.0,technician,single,tertiary,no,880.0,yes,yes,unknown,19,may,-1.0,unknown,yes,1.0,6.875232087276577,1.9459101490553132,0.0,0
41.0,technician,married,secondary,no,501.0,yes,no,unknown,19,may,-1.0,unknown,yes,1.0,6.363028103540465,1.791759469228055,0.0,0
36.0,blue-collar,married,secondary,no,4087.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.102558594613569,0.6931471805599453,0.0,3
35.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
29.0,services,single,secondary,no,271.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
35.0,blue-collar,married,primary,no,102.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
31.0,blue-collar,married,secondary,no,2.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,5.209486152841421,1.0986122886681098,0.0,1
35.0,services,married,secondary,no,4087.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
34.0,technician,single,secondary,no,85.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,0
31.0,admin.,single,secondary,no,431.0,yes,yes,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
44.0,technician,divorced,secondary,no,982.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.478509642208569,1.3862943611198906,0.0,0
36.0,blue-collar,married,primary,no,408.0,yes,yes,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
35.0,blue-collar,married,unknown,no,4087.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.738152494595957,1.0986122886681098,0.0,3
41.0,blue-collar,married,primary,no,1250.0,yes,no,unknown,20,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
31.0,blue-collar,single,primary,no,216.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.338594078203183,0.6931471805599453,0.0,1
34.0,blue-collar,married,secondary,no,1207.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.80903930604298,0.6931471805599453,0.0,1
32.0,technician,married,secondary,no,791.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.664409020350408,1.0986122886681098,0.0,1
36.0,management,married,tertiary,no,849.0,yes,yes,unknown,21,may,-1.0,unknown,yes,1.0,6.8658910748834385,1.0986122886681098,0.0,1
30.0,blue-collar,single,secondary,yes,239.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.023447592961033,0.6931471805599453,0.0,1
37.0,technician,single,secondary,no,1211.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.679599185844383,0.6931471805599453,0.0,1
36.0,blue-collar,married,primary,no,599.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.476972362889683,1.0986122886681098,0.0,1
31.0,management,single,tertiary,no,825.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.2285110035911835,1.0986122886681098,0.0,1
27.0,technician,married,secondary,no,2183.0,yes,yes,unknown,21,may,-1.0,unknown,yes,1.0,6.754604099487962,0.6931471805599453,0.0,1
34.0,retired,married,primary,no,4087.0,no,no,unknown,21,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
30.0,technician,single,tertiary,no,1289.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
32.0,technician,single,tertiary,no,4087.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.7580945044277305,1.0986122886681098,0.0,3
37.0,technician,single,secondary,no,3326.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.684611727667927,0.6931471805599453,0.0,3
32.0,blue-collar,married,secondary,no,783.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.828712071641684,1.3862943611198906,0.0,1
33.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,21,may,-1.0,unknown,yes,1.0,6.257667587882639,1.3862943611198906,0.0,0
35.0,blue-collar,married,primary,no,994.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.9459101490553132,0.0,0
35.0,self-employed,divorced,tertiary,no,1354.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.602587892189336,1.0986122886681098,0.0,1
30.0,blue-collar,single,secondary,no,239.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.666956792429207,0.6931471805599453,0.0,1
45.0,blue-collar,divorced,primary,no,-311.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.93828448401696,0.6931471805599453,0.0,1
45.0,admin.,married,secondary,no,149.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.795705775173514,1.3862943611198906,0.0,0
33.0,blue-collar,married,secondary,no,1464.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.3784261836515865,1.3862943611198906,0.0,0
44.0,management,divorced,tertiary,no,4087.0,no,no,unknown,23,may,-1.0,unknown,yes,1.0,6.393590753950631,1.9459101490553132,0.0,3
40.0,blue-collar,married,primary,no,278.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.923628628138427,1.3862943611198906,0.0,0
31.0,blue-collar,married,secondary,no,2910.0,yes,no,unknown,23,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
30.0,technician,married,tertiary,no,541.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.028278520230698,1.0986122886681098,0.0,1
44.0,technician,divorced,secondary,no,1262.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.670766320845874,1.9459101490553132,0.0,0
34.0,services,married,secondary,no,-538.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.52649485957079,0.6931471805599453,0.0,1
37.0,blue-collar,married,secondary,no,125.0,no,no,unknown,26,may,-1.0,unknown,yes,1.0,6.522092798170152,1.0986122886681098,0.0,1
28.0,self-employed,single,tertiary,no,0.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
32.0,admin.,single,secondary,no,620.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,1
37.0,blue-collar,divorced,secondary,no,316.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.466144724237619,1.0986122886681098,0.0,1
34.0,management,married,tertiary,no,2287.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.79794041297493,1.6094379124341003,0.0,0
38.0,admin.,divorced,secondary,no,198.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.068425588244111,1.0986122886681098,0.0,1
28.0,admin.,single,secondary,no,460.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.60934924316738,1.9459101490553132,0.0,0
31.0,management,divorced,tertiary,no,1145.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.6094379124341003,0.0,0
59.0,services,married,secondary,no,-22.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.618738983517219,1.3862943611198906,0.0,0
24.0,blue-collar,married,secondary,no,685.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.799055862058796,1.3862943611198906,0.0,0
26.0,services,single,secondary,no,901.0,yes,no,unknown,26,may,-1.0,unknown,yes,1.0,6.639875833826536,1.0986122886681098,0.0,1
59.0,retired,single,secondary,no,351.0,yes,no,unknown,27,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.791759469228055,0.0,0
30.0,entrepreneur,single,primary,no,0.0,yes,yes,unknown,27,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
37.0,admin.,married,secondary,no,274.0,yes,no,unknown,27,may,-1.0,unknown,yes,1.0,6.595780513961311,1.3862943611198906,0.0,0
30.0,admin.,single,secondary,no,-213.0,yes,yes,unknown,27,may,-1.0,unknown,yes,1.0,6.62273632394984,0.6931471805599453,0.0,1
25.0,blue-collar,married,secondary,no,97.0,yes,no,unknown,27,may,-1.0,unknown,yes,1.0,6.565264970035361,0.6931471805599453,0.0,1
44.0,services,divorced,secondary,no,51.0,yes,yes,unknown,27,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
29.0,management,married,tertiary,no,314.0,no,no,unknown,28,may,-1.0,unknown,yes,1.0,6.844815479208263,1.0986122886681098,0.0,1
26.0,management,single,tertiary,no,4087.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
26.0,technician,single,secondary,no,668.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.3578422665081,1.3862943611198906,0.0,0
27.0,services,single,secondary,no,54.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.298949246855942,1.0986122886681098,0.0,1
25.0,self-employed,single,secondary,no,1242.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.423246963533519,1.0986122886681098,0.0,1
28.0,management,married,secondary,no,292.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.230481447578482,0.6931471805599453,0.0,1
23.0,services,single,secondary,no,665.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
34.0,management,single,tertiary,no,1058.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.762729506931879,1.0986122886681098,0.0,1
28.0,student,single,secondary,no,949.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
51.0,entrepreneur,married,unknown,no,606.0,yes,no,unknown,28,may,-1.0,unknown,yes,1.0,6.329720905522696,1.9459101490553132,0.0,0
35.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,29,may,-1.0,unknown,yes,1.0,6.298949246855942,0.6931471805599453,0.0,1
35.0,admin.,married,secondary,no,404.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.29156913955832,0.6931471805599453,0.0,1
56.0,blue-collar,married,secondary,no,249.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.674561391814426,1.0986122886681098,0.0,1
45.0,unemployed,divorced,secondary,no,3354.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.616065185132817,0.6931471805599453,0.0,3
60.0,blue-collar,divorced,secondary,no,0.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,1
56.0,technician,married,secondary,no,589.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.284134161070802,1.0986122886681098,0.0,0
27.0,management,single,tertiary,no,4087.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.672032945461067,1.3862943611198906,0.0,3
30.0,admin.,married,secondary,no,873.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.675823221634848,1.3862943611198906,0.0,0
45.0,blue-collar,divorced,primary,no,594.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.726233402358747,1.0986122886681098,0.0,1
29.0,blue-collar,single,secondary,no,-20.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.703188113240863,1.0986122886681098,0.0,1
38.0,management,divorced,tertiary,no,4087.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,3
30.0,blue-collar,married,secondary,no,486.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.3862943611198906,0.0,0
44.0,blue-collar,single,primary,no,1593.0,yes,no,unknown,29,may,-1.0,unknown,yes,1.0,6.720220155135295,1.3862943611198906,0.0,0
36.0,management,single,tertiary,no,4087.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.822197390620491,0.6931471805599453,0.0,3
38.0,technician,married,secondary,no,226.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.637258031284457,1.3862943611198906,0.0,0
36.0,blue-collar,single,secondary,no,366.0,yes,yes,unknown,30,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
37.0,management,divorced,secondary,no,16.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.459904454377535,0.6931471805599453,0.0,1
35.0,management,single,tertiary,no,565.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.638567789166521,0.6931471805599453,0.0,1
38.0,admin.,divorced,secondary,no,19.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.405228458030842,1.0986122886681098,0.0,1
40.0,services,married,primary,no,1082.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.75110146893676,1.0986122886681098,0.0,1
42.0,unemployed,divorced,secondary,no,1713.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.752270376141742,1.0986122886681098,0.0,1
46.0,management,divorced,tertiary,no,4087.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.9411900550683745,0.6931471805599453,0.0,3
35.0,technician,divorced,secondary,no,4087.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.539585955617669,1.9459101490553132,0.0,3
34.0,technician,divorced,secondary,no,1451.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.9459101490553132,0.0,0
32.0,services,married,secondary,no,-34.0,yes,no,unknown,30,may,-1.0,unknown,yes,1.0,6.9411900550683745,1.0986122886681098,0.0,1
